Student Number,Gender,Race,Hispanic / Latino,Grade Level,LEP Indicator Code,Eligible for Free or Reduced Lunch,Has Active at Risk,Has Special Education Enrollment TX,IEP Continuer,Housing Status,Active,Language Description,Status of Enrollment
290751,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272946,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273017,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288646,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
263814,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274187,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271494,F - Female,White,TRUE,10,5,No,No,No,No,Not Applicable,No,SPANISH,Active
279852,M - Male,White,TRUE,9,C,No,Yes,No,No,Homeless,No,SPANISH,Active
267408,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269612,M - Male,White,TRUE,10,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268890,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266314,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
281246,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271251,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265096,F - Female,White,TRUE,12,4,No,Yes,No,No,Not Applicable,No,SPANISH,Active
264038,F - Female,White,TRUE,11,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
267316,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267318,M - Male,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
286471,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
277000,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264188,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
261656,F - Female,White,TRUE,12,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
264226,F - Female,Multi-Race,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271204,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
286699,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
283941,F - Female,White,TRUE,12,3,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271930,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
290088,F - Female,White,FALSE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271225,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269241,F - Female,Amer Indian,TRUE,10,4,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
262158,F - Female,Amer Indian,TRUE,12,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
263797,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
263818,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
280351,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264763,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
269395,M - Male,White,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
278898,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289275,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266810,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272092,M - Male,White,TRUE,10,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
266160,F - Female,White,TRUE,10,4,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268118,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267552,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265153,M - Male,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
268963,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264109,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288723,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
270798,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264653,M - Male,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
272450,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284255,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269757,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
258474,M - Male,White,TRUE,12,,No,No,Yes,No,Not Applicable,No,ENGLISH,Active
266537,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
263806,M - Male,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
268313,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266255,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283178,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268021,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268698,F - Female,White,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
267570,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283276,M - Male,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266749,M - Male,White,TRUE,12,4,No,Yes,No,No,Not Applicable,No,SPANISH,Active
283139,M - Male,White,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
265112,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268940,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
263792,F - Female,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
273734,F - Female,White,TRUE,10,,No,Yes,No,No,Homeless,No,ENGLISH,Active
262156,M - Male,White,TRUE,12,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
277142,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267061,M - Male,White,FALSE,12,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
267370,M - Male,Amer Indian,TRUE,11,5,No,No,No,No,Not Applicable,No,SPANISH,Active
261907,F - Female,White,TRUE,12,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
269543,M - Male,White,TRUE,10,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271241,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265892,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268935,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271364,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288136,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264111,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271495,F - Female,Amer Indian,TRUE,10,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283397,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274397,M - Male,White,TRUE,12,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
286513,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274492,M - Male,White,TRUE,10,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
267001,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
288959,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268731,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
277149,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
